608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
8428_41 	A2JPXAF2MC24F7 	During the rule of Auguatus&#44; Roman general Publius Quinctilius Varus began invasion of Germania (the name given by Romans to the area from Rhine to Ural).
8428_42 	A3F9QBUALMKO1 	At the time of invasion&#44; Germanic tribes became familiar with the Roman style of warfare.
8428_44 	A16IVTYAYSV3SA 	In the 9th century AD the Cheruskan leader of Germany&#44; Arminius had defeated a group of soldiers leading by the Roman general Varus in the war of Forest of Teutobourg.
8428_45 	A3F9QBUALMKO1 	As a result modern Germany as well as the Rhine and the Danube remained outside the Roman Empire.
8428_46 	A16IVTYAYSV3SA 	The present region of Germany was formed due to the bifurcation of the Carolingian Empire during 843 AD.
8428_47 	ADC8VBKOVOCRR 	France was also included in this empire.
8428_48 	A2JPXAF2MC24F7 	Thereafter for many centuries Germany remained an association of loosely united feudalistic states.
8428_49 	A16IVTYAYSV3SA 	After the 16th century the states of Germany were being associated more and more with the war and religious conflicts of Europe.
8428_60 	A31II4QBW2DURA 	West Germany was formed by the union of the remaining three  west controlled region.
8428_61 	A16IVTYAYSV3SA 	Though Berlin&#44; the historical capital of Germany was situated far inside the East Germany&#44; nonetheless this city too was divided between the two countries.
8428_62 	A3F9QBUALMKO1 	But when many people started to migrate to the economically enriched and democratic West Germany&#44; East Germany built a wall in Berlin in 1961 and tightened the country&#39;s border.
8428_64 	A3F9QBUALMKO1 	Germany is a federal&#44; parliamentary&#44; representative democratic republic.
8428_66 	A31II4QBW2DURA 	The constitution of Germany is primarily known as the Primary laws of Federal Germany or Grundgesetz.
8428_67 	A31II4QBW2DURA 	The founders of the constitution had expressed the will that when German again re unites as one nation then this constitution will be replaced by a proper constitution.
8428_68 	A3F9QBUALMKO1 	Two thirds majority in both chambers of the parliament is needed to modify the constitution.
8428_69 	A3F9QBUALMKO1 	The fundamental principles of the constitution are including the guarantee of human dignity; the separation of powers&#44; the federal structure&#44; and the rule of law are valid in perpetuity.
8428_70 	A16IVTYAYSV3SA 	The head of the state of Germany is the President who is elected by constituent assembly formed with Bundestag and equal number of representatives from each of the provinces.
8428_71 	A3F9QBUALMKO1 	In the German government system&#44; the head of government is the Chancellor; currently Angela Merkel is the Chancellor who gets executive power similar to the Prime Minister of parliamentary democracies.
8428_72 	A2HFASY1SVXPSP 	Federal legislative power is vested in the parliament consisting of the Bundestag and Bundesrat&#44; which together form a unique type of legislative body.
8428_73 	A3F9QBUALMKO1 	The Bundestag is elected through direct elections where the Bundesrat is the Representative of the governments of the sixteen federal states.
8428_74 	A3F9QBUALMKO1 	Each state government has the right to appoint and remove their representative.
8428_75 	A3F9QBUALMKO1 	Since 1949&#44; the major political parties of Germany are Christian Democratic Union and the Social Democratic Party of Germany.
8428_76 	A3F9QBUALMKO1 	Apart from that there is a small political party named Free Democratic Party.
8428_79 	A2HFASY1SVXPSP 	German territory covers 357&#44;021 km2&#44; consisting of 349&#44;223 km2 of land and 7&#44;798 km2 of water.
8428_80 	A16IVTYAYSV3SA 	In terms of its area&#44; Germany is the 7th largest in Europe and 63rd in the world.
8428_81 	A29I4DG0VTW9X3 	The border neighboring countries of Germany are Denmark to the north&#44; Poland and Czech Republic to the east&#44; Austria and Switzerland to the south&#44; France and Luxembourg to the south-west and Belgium and Netherlands to the north-west.
8428_84 	A29I4DG0VTW9X3 	Eagle: The national bird of Germany.
8428_88 	A16IVTYAYSV3SA 	The largest wind mill and solar energy collector of the world are located in Germany.
8428_89 	A31II4QBW2DURA 	Germany is known all over the world as an environmentally aware nation
8428_90 	A29I4DG0VTW9X3 	Most of the Germans are aware of global worming.
8428_91 	A29I4DG0VTW9X3 	This country maintains the Kyoto Protocol strictly and ensures reduced production of poisonous gases by using fossil fuels.
8428_92 	A29I4DG0VTW9X3 	The German Government has taken a huge number of initiatives to prevent environment pollution and the country&#39;s pollution is reducing day by day.
8428_94 	A16IVTYAYSV3SA 	Among the natural calamities&#44; flood and cyclone are common in almost all the regions.
8428_96 	A2JPXAF2MC24F7 	International Relations
8428_97 	A3F9QBUALMKO1 	As a founding member&#44; Germany has always played a leading role in the European Union and has maintained a strong alliance with France since the end of World War II.
8428_98 	A3F9QBUALMKO1 	In the late 1980s or early 1990s&#44; in the times of the Christian Democrat Helmut Kohl and Socialist Francois Mitterrand&#44; this alliance was broken.
8428_99 	ADC8VBKOVOCRR 	Germany is on the forefront of the European states seeking to make stronger the European political unity&#44; defense and security.
8430_16 	A28YA9BQFLXOPT 	Subject:Country
8430_17 	A3F9QBUALMKO1 	Subject Category: Europe
867_100 	A3F9QBUALMKO1 	The general election was held on 10 March 1954.
867_101 	ADC8VBKOVOCRR 	In this election&#44; the united front got 223 seats out of 237 seats in a massive majority and the Awami League itself got 143 seats out of these.
867_102 	ADC8VBKOVOCRR 	Seikh Mujib won in Gopalgunj seat by a margin of 13000 votes.
867_103 	A3F9QBUALMKO1 	There his opponent was a powerful Muslim league leader Wahiduzzaman.
867_104 	A3KUMU0O6YW08U 	On 15th may he was given the responsibility of Forest and Agriculture Ministry.
867_105 	ADC8VBKOVOCRR 	On 29th may&#44; the central government dismissed the united front government.
867_106 	A3F9QBUALMKO1 	On 30 May he was arrested at the airport while returning from Dhaka and Karachi.
867_107 	A3F9QBUALMKO1 	He was released on 23 December.
867_108 	A2JPXAF2MC24F7 	On June 5&#44; 1955 Sheikh Mujib was elected a member of the Legislative Assembly.
867_110 	A3PSUT241Y12MZ 	It was decided at the working committee meeting on June 23 that unless the autonomy for East Pakistan is achieved&#44;all members of the legislative council would resign.
867_111 	A16IVTYAYSV3SA 	On 25th August in a mass convention in Karachi&#44; Seikh Mujib said:
867_115 	A3PSUT241Y12MZ 	On October 21&#44;at the special session of the Bangladesh Awami Muslim League&#44; the word &quot;Muslim&quot; was deleted unanimously.
867_116 	A2JPXAF2MC24F7 	Mujib was re-elected the General Secretary of the party.
867_117 	A16IVTYAYSV3SA 	In the meeting with the chief minister with the Awami League on 3rd February a demand was raised to include the autonomy in the draft of the constitution.
867_118 	A2JPXAF2MC24F7 	On July 14 in a resolution was made against military presence in the administration that he himself placed before the government.
867_119 	A2JPXAF2MC24F7 	He led an anti-famine rally on September 4.
867_120 	A3PSUT241Y12MZ 	When police opened fire at the procession for breaking section 144&#44;at least three persons were killed.
867_121 	ADC8VBKOVOCRR 	on 16th September&#44; Mujib joined the coalition government as minister in the ministry of Industry&#44; Commerce&#44; Labour&#44; AntiCorruption and village aid.
867_122 	A3F9QBUALMKO1 	On 30 May 1957&#44; he resigned from the ministry post to work full time for the party..
867_123 	A3F9QBUALMKO1 	On 7 August he went on a official tour to China and the Soviet Union.
867_125 	A16IVTYAYSV3SA 	On the 11th of October in the same year&#44; Sekh Mujib was detained.
867_126 	ADC8VBKOVOCRR 	During his imprisonment&#44; a lot of false allegations were made against him.
867_127 	ADC8VBKOVOCRR 	He was freed after an imprisonment of 14 months but he was arrested again from the gate of the jail.
867_128 	A3F9QBUALMKO1 	Chief leader of East Pakistan
867_129 	A3F9QBUALMKO1 	In 1961 he was released from jail by filing a Writ Petition in High court.
867_130 	A16IVTYAYSV3SA 	Now he started secret political activities.
867_131 	A16IVTYAYSV3SA 	He secretly formed an organization in the name of &quot;Swadhin Bangla Biplabi Parishad&quot; (Society of Independent Bengali Revolutionists) with extraordinary students&#44; the purpose of which was to work for the independence of Bangladesh.
867_132 	A2JPXAF2MC24F7 	On February 6&#44; 1962 he was arrested again under the Public Security Act.
867_133 	A2JPXAF2MC24F7 	On June 2 Martial Law of four years&#39; duration was revoked and on 18th instant of the same month he was released.
867_134 	A16IVTYAYSV3SA 	On 25th June&#44; along with the other political leaders&#44; he took part in the movements against the different political issues enacted by Ayub Khan.
867_135 	A16IVTYAYSV3SA 	On 5th June in an assembly in the Paltan Maidan (an open field) he harshly criticized Ayub Khan.
867_137 	A2JPXAF2MC24F7 	It basically functioned as a general structure for all the oppositions parties.
867_138 	A2JPXAF2MC24F7 	Throughout the month of October he travelled to various places in Bangladesh accompanied with Sahid Sohrawardi to obtain support for this combined front.
867_139 	A2JPXAF2MC24F7 	In 1963 he went to London to discuss some issues with Sohrawardi who was under medical treated there.
867_140 	A2JPXAF2MC24F7 	He died on December 5 this year in Beirut.
867_151 	ADC8VBKOVOCRR 	Six point demand.
867_152 	A3PSUT241Y12MZ 	On February 5&#44;1966 a national conference of the opposition parties was held in Lahore.
867_153 	A3PSUT241Y12MZ 	In this conference Shaikh Mujib presented his six point demand&#44;where the full picture of the autonomy for East Pakistan was mentioned.
867_154 	ADC8VBKOVOCRR 	Sheikh Mujib proclaimed this demand with the title as Our Charter of Survival.
867_155 	ADC8VBKOVOCRR 	The main subject of this demand was the complete autonomy for East Pakistan in a Pakistani federation with a weak Central Government.
867_156 	A3PSUT241Y12MZ 	The organizers of the conference rejected this demand and identified Shaikh Mujib as secessionist.
867_157 	A3PSUT241Y12MZ 	For this reason he boycotted the conference and returned to East Pakistan.
867_159 	A3BNFNWQX37CQV 	after this election he started a countrywide movement to support his 6-point autonomy plan.
867_160 	A3PSUT241Y12MZ 	He traveled most of the country.
867_161 	A16IVTYAYSV3SA 	During this tour he was arrested several times by the police in Sillet&#44; Moimonsingha and Dhaka.
867_162 	A3PSUT241Y12MZ 	During the first quarter of the year he was arrested eight times.
867_163 	A2JPXAF2MC24F7 	He was arrested again on May 8 of this year for participating in a rally by the laborers of Narayanganj jute factory.
867_164 	A16IVTYAYSV3SA 	On 7th June&#44; a nation wide strike was observed with the demand for his release.
867_165 	A3PSUT241Y12MZ 	During the strike&#44;police opened fire&#44; resulting the death of about three persons in Dhaka and Narayanganj.
867_166 	A16IVTYAYSV3SA 	Agartala Conspiracy Case
867_167 	A3PSUT241Y12MZ 	After confinement in prison by the military forces for two years&#44;during the early part of 1968&#44;the Government of Pakistan  filed a case against Shaikh Mujib and 34 other Bengali civil and military officials&#44;which is well known in the history as  Agartala Conspiracy Case.
867_168 	A3PSUT241Y12MZ 	It was mentioned in the case that these officials along with  Shaikh Mujib met the Indian government officials in Agartala  city of Indian state of Tripura and made a conspiratorial plan to divide Pakistan.
867_169 	A16IVTYAYSV3SA 	In this case Seikh Mujib was named as the number one accused and was declared as the main mastermind of that conspiracy to divide Pakistan.
867_171 	A16IVTYAYSV3SA 	Just after this incident&#44; a storm of protest was raised throughout the East Pakistan.
867_172 	A2JPXAF2MC24F7 	People of all levels descended to roads demanding release of all accused including Sheikh Mujib calling this case to be a farce.
867_173 	A16IVTYAYSV3SA 	Under such circumstances&#44; on 19th June in the same year&#44; the trial of the accused was started in the Dhaka Army Base with tight security arrangements.
867_174 	A16IVTYAYSV3SA 	The Mass Insurgency of 1969.
867_175 	A3BNFNWQX37CQV 	during this period on 5th january 1969 the cental student revolution organisation announced their 11 point proposal which includes all points of skekh mujib&#39;s 6 point proposal
867_176 	A16IVTYAYSV3SA 	According to the resolution taken by this association&#44; a country wide students&#39; movement was called for demanding to call off the Agartala conspiracy case.
867_177 	A28YA9BQFLXOPT 	This revolution once took a multi revolutionary phase.
867_178 	A16IVTYAYSV3SA 	This movement is known as the Insurgency of 1969.
867_179 	A2JPXAF2MC24F7 	Pakistan Government was compelled to release them when the movement became furious after month long protest movement&#44; violation of Section 144&#44; curfew&#44; police firing and death and injury or many students.
867_180 	A2JPXAF2MC24F7 	The then President Ayub Khan withdrew this case after round table conference with the political leaders.
867_181 	A3F9QBUALMKO1 	All accused including Mujibur were released.
867_183 	A2OE1LT946KVM9 	In this meeting of millions of people&#44; Shaikh Mujib was given the title of Bangabandhu
867_184 	A3F9QBUALMKO1 	This title was declared by Tajuddin Ahmad.
867_185 	A3F9QBUALMKO1 	In his speech at this conference&#44; Sheikh Mujibur Rahman declared his full support on the 11 points plan of the Student Action Committee.
