787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
53283_555 	A1WCVMMFKMAB0C 	Cereals with milk or curd Museli though is not popular&#44;  is used widely.
53283_556 	A2NVTQQZ6P8Q49 	300 varieties of Bread are sold in bakeries across the country.
53283_558 	A3J1PP96QX14U0 	Personal parties were enjoyed mainly with cheese and meat
53283_559 	A2NVTQQZ6P8Q49 	As a country of many immigrants&#44; Germany has introduced  many international dishes in its cookies and daily routine food as habitual.
53283_560 	A1WCVMMFKMAB0C 	Italian food like Pizza and Hassat&#44; Turkish and Arabian  food like Donare Kabab and Falafel kind of dishes are   very popular in big cities
53283_561 	A1WCVMMFKMAB0C 	International burger stores&#44; Chinese and Greek   restaurants are widely available.
53283_563 	AI5E50BGAUZH2 	Among nine premium quality hotels in Germany&#44; Michelin Guide was presented with three stars&#44; It has received great favors&#44; and received 15 two stars.
53283_564 	AI5E50BGAUZH2 	(246) Germany hotels are in second place in most decorated restaurants in the world after France.
53283_565 	AI5E50BGAUZH2 	Though liquor has been popular in many regions of Germany&#44; beer was the national drink.
53283_566 	AI5E50BGAUZH2 	Individual beer consumption is reducing - but with 116 liters per year it is the highest in world.
53283_568 	AI5E50BGAUZH2 	Among 18 Western countries surveyed Germany is in 14 position in average cool drink consumption per capita&#44; but in fruit juice consumption it is in third position.
53283_569 	AI5E50BGAUZH2 	(249) And&#44; in carbonated mineral water and Scorel (a mixture with fruit juices) became very popular in Germany.
53283_571 	AI5E50BGAUZH2 	Germany acheived a respectful position in the world.
53283_573 	A3V7G0CFREWGTP 	Ever since 2006 world cup tournament&#44;  Germany&#39;s national status as well as their attitude have changed both internally and externally.
53283_574 	A3V7G0CFREWGTP 	[250]In Nation Brands and Index&#44; a survey that is accepted worldwide&#44;after these Tournaments Germany importantly and many times has ascended to the top position.
53283_575 	AN9IFNKPF7N1I 	The people of 20 different countries and country having the culture and politics&#44; exports&#44; to attract the tourists and people of the country and investments are taken the under and control
53283_576 	A3V7G0CFREWGTP 	In 2008&#44; it was stated that out of 50 nations Germany was the most valuable nation of the world.
53283_578 	A3V7G0CFREWGTP 	Those with positive attitude toward the nation were as many as 61% and those with negative attitude were 15%.
53283_579 	AN9IFNKPF7N1I 	German used the money for national tourism and in journey of the national.
53283_580 	A3V7G0CFREWGTP 	(Nelin&#44; that is on Rugyn island&#44; is a seashore sight seeing place)
53283_581 	A3V7G0CFREWGTP 	Germany is legally and socially tolerant regarding those who follow homosexuality
53283_583 	A3QL2TAO2U5TM9 	[254] homosexual people either men or women legally can dopt the kids of their better half (other people&#39;s kids)
53283_584 	A3QL2TAO2U5TM9 	Mayors of biggest cities in germany&#44; berlin and hamburg have declared themselves as homo sexuals.
53283_585 	AE9QK78PC9KRL 	In the last decade of 20th century&#44; Germany has changed its attitude.
53283_586 	A3QL2TAO2U5TM9 	though 10% of the population in germany were not native of the country&#44; till mid of 19th century foreigners felt that settling down in germany was not a suitable place for any refugees.
53283_588 	AE9QK78PC9KRL 	Now the German Government&#44; and synagogues have decided to control the people who come to stay.
53283_590 	A3QL2TAO2U5TM9 	germany has spent 67 billion euros in 2008 for international travel then any other country who have spent for international travels.
53283_591 	AE9QK78PC9KRL 	Austria and Italy are some of the foreign countries which traveled &#44; maximum.
53283_594 	AI1HQO6HZCVT7 	Index of articles about Germany
53283_595 	A10WWCR8CVY4CH 	Brief description of Germany
53283_599 	A1Z53763UXALP 	Duestsland.de - Official door to Germany(Non profit)
53283_600 	AI1HQO6HZCVT7 	German Chancellor&#39;s official site (German and English)
53283_601 	A1Z53763UXALP 	Deeustvale- International newspaper from Germany.
53283_603 	A1Z53763UXALP 	Link to Germany in Encylopedia Brittanica
53283_606 	A1UX3BQYCDI1ZV 	Truths about Germany - Done by German Federal Foreign Office.
53283_607 	A1UX3BQYCDI1ZV 	Destatis.De - Federal Statistical Office
53283_611 	A3J1PP96QX14U0 	Group: States under the European rule
53283_612 	A3J1PP96QX14U0 	Group: European Union member society
53283_615 	AI5E50BGAUZH2 	Category: Countries bordering Baltic Sea
53283_618 	AI5E50BGAUZH2 	Category: German speaking countries
53283_621 	AI1HQO6HZCVT7 	Category: Democratic countries having broad views
55057_100 	A1WCVMMFKMAB0C 	thumb|150px|upright|In 1945 atomic bomb attack on   Hiroshima and Nagasakhi cities.
55057_101 	A10WWCR8CVY4CH 	In 1937 Japan once again waged war on China
55057_102 	A1G9LNGGD9IP1X 	Second China-Japan war took place during 1937-1945.
55057_103 	A1ROUGGGBWAQNP 	in opposition to this&#44;america made an oil embargo on japan
55057_105 	A1ROUGGGBWAQNP 	america and britain declaed war on japan
55057_106 	A1G9LNGGD9IP1X 	In this way&#44; America became part of second world war.
55057_107 	A1WCVMMFKMAB0C 	With 1945 &#39;s atomic attack on Hiroshima and Nagasaki  and Soviet union &#39;s August war Japan has agreed  loosing and on August 15 surrendered itself.
55057_108 	A1G9LNGGD9IP1X 	Due to this war&#44; there were many human deaths in Japan.
55057_110 	A3J1PP96QX14U0 	The Nanking Massacre is a mass murder following the Japanese capture of the city of Nanjing (Nanking)&#44; the former capital of the Republic of China
55057_111 	A10WWCR8CVY4CH 	In 1947 Japan has started new peace Constitution
55057_112 	AI5E50BGAUZH2 	According to this constitution a free democracy will be in place.
55057_113 	AI5E50BGAUZH2 	In 1952&#44; according to San Francisco forecast Japan alliances will be removed from the power.
55057_115 	AI5E50BGAUZH2 	After that Japan&#39;s economy boomed like a miracle.
55057_116 	AI5E50BGAUZH2 	It formed into world&#39;s second largest economy.
55057_117 	A19ESYNYEAABIB 	In the year 1990&#44; the growth of japan has come down due to the economic crisis in the neighbouring countries.
55057_118 	AI5E50BGAUZH2 	There is some improvement seen after 2000.
55057_120 	AMKGJUEEY6ZCH 	Japan&#39;s National Parliament building- Diet&#44; Tokyo.
55057_121 	ADMENGADDLNDK 	Japan is a constitutional kingdom.
55057_122 	ADMENGADDLNDK 	The king or the Emperor just would be the symbol of the country&#44; nation and the unity.
55057_123 	ADMENGADDLNDK 	The actual powers would be in the hands of the Prime Minister and the elected representatives (Diet).
55057_125 	ADMENGADDLNDK 	The current emperor is Akihito.
55057_126 	A3J1PP96QX14U0 	After him his throne will be given to Naruvoto
55057_127 	AMKGJUEEY6ZCH 	Japan&#39;s parliament Diet consists of two assemblies.
55057_128 	A3J1PP96QX14U0 	Every four years there will be general elections held to elect 480parlimanet members
55057_131 	A3V7G0CFREWGTP 	In Japan&#44; every one who is above 20 years of age have the right to vote.
55057_132 	A3V7G0CFREWGTP 	&quot;Liberal Conservative Party&quot; is in power since 1955.
55057_133 	A3V7G0CFREWGTP 	the coalition government worked only in 1993.
55057_135 	A3V7G0CFREWGTP 	the emperor appoints the prime minister who is the leader of the government.
55057_136 	A3V7G0CFREWGTP 	He should have the faith of the elected representatives.
55057_137 	A3V7G0CFREWGTP 	Prime minister appoints the cabinet ministers.
55057_138 	AI1HQO6HZCVT7 	present prime minister of japan is yusuvo gakuda.
55057_140 	A1WCVMMFKMAB0C 	But Western countries Law and ruling system   shown way to current Political system of   Japan.
55057_141 	A1G9LNGGD9IP1X 	Japan has supreme court and three other courts.
55057_142 	A1WCVMMFKMAB0C 	Main topics of Japan Law system are termed as  6 Laws.
55057_143 	A1WCVMMFKMAB0C 	External affairs&#44; Military
55057_145 	A28Y0H55DSZ3NX 	Helicopter that  belong to HHawak Denaryanan Ship of Japan naval security Force(JMSDF)
55057_146 	A1G9LNGGD9IP1X 	Japan&#39;s F-15 war airplanes.
55057_147 	A1WCVMMFKMAB0C 	Japan has good economic and military relations  with America.
55057_148 	A1G9LNGGD9IP1X 	Japan-America Security relations are important in foreign relations.
55057_151 	A31PUL91ZMCDBU 	for the membership of united nations security council another three countries (called G4 countries) G8&#44; APEC OR Asia-pacific helping nations japan has membership in these associations
55057_152 	AMKGJUEEY6ZCH 	This is the second big country which helps in developing of different countries economically in worldwide.
55057_153 	A2M3NIA5MQX8G3 	IN 2004 IT GAVE 8.86 BILLION AMERICAN DOLLARS.
55057_155 	AMKGJUEEY6ZCH 	According to Constituency 9th part &#44;Japan has authority to declare war against its enemy countries for various problems.
55057_156 	AMKGJUEEY6ZCH 	So japan military forces will always be alert to face any type of situation for their country.
55057_157 	A31PUL91ZMCDBU 	after second world ware japan for the first time entered iraq war &quot;groups which don&#39;t fight&quot; but after wards the army was called back by the japan government
55057_160 	A3J1PP96QX14U0 	Generally&#44; Japan is divided in to 8 parts
55057_161 	AI5E50BGAUZH2 	But for ruling it is divided into 47 prefectures.
55057_162 	A3J1PP96QX14U0 	In one district a governor&#44; supreme court&#44; administrator are available
55057_163 	A10WWCR8CVY4CH 	This is now getting reformed
55057_165 	A3J1PP96QX14U0 	Japan&#39;s tradition&#44; Finance establishment&#44; social status have very importance in the cities.
55057_167 	A10WWCR8CVY4CH 	Picture of Japan from Satellite in May 2003
55057_170 	A30DCB3TFOQO3B 	thumb| Minnajima Beach in Okinawa.
55057_171 	A30DCB3TFOQO3B 	Japan is in pacific ocean and has more than 3000 islands spread to the north and south.
55057_172 	A30DCB3TFOQO3B 	Of these  Hokkaido&#44; Honshu&#44; Shikoku&#44; Kyushu are large islands.Ryukyu&#44;Okinawa islands are a group of small islands to the south of Kyushu island.
55057_173 	A30DCB3TFOQO3B 	Collectively  called Japanese Archipelago.
55057_175 	A30DCB3TFOQO3B 	This part is not suitable for residential&#44;agricultural and industrial purposes.
55057_176 	AI1HQO6HZCVT7 	because there is chance of land slides&#44; volcanoes&#44; excessive rainfall or mud land.
55057_177 	A30DCB3TFOQO3B 	So there is high population density in other areas especially coastal ares.
55057_178 	A30DCB3TFOQO3B 	Japan is one of the most densely populated countries in the world.
55057_180 	A3V7G0CFREWGTP 	Geographically  there are six climate zones in Japan.
55057_181 	A3V7G0CFREWGTP 	Hokkaido: Semi temperate climate&#44; long winter&#44; average rainfall and a bit of snowfall during winter.
55057_182 	ADMENGADDLNDK 	Japan Sea: The western coastal part of Honshu.
55057_185 	A19ESYNYEAABIB 	In the Deccan platue the temperature remain constant in all season execpt few occasions
55057_186 	ADMENGADDLNDK 	The Sea in the interior of Nato - The Sea region in between the Chugoku and Shikoku mountains is secured by various winds and so the extremities in the climate is less.
55057_187 	ADMENGADDLNDK 	Pacific ocean region - East coast - Very cold but no snowfall.
55057_188 	ADMENGADDLNDK 	Due to the southwest winds&#44; summers are hot and humid.
55057_192 	A9S6WLEVWHI1T 	Typhoons ( Cyclones ) occur frequently.
55057_193 	A9S6WLEVWHI1T 	The highest temperature recorded in Japan till date is 40.9 degree Celcius on  16 August 2007
55057_195 	A9S6WLEVWHI1T 	Gradually these rains move towards North
55057_196 	A3T1KZYNIUW9IN 	In Hllaido &#44; rains start in the month of July.
